,song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,tempo,valence
98,The Gaudy Side of Town,Gayngs,0.716,0.685,427227,0.423,0.518,-9.031,138.034,0.649
99,U Mad,Vic Mensa,0.0151,0.706,299799,0.581,0.0,-6.492,134.009,0.463
100,Slumlord,Neon Indian,0.228,0.63,315595,0.98,0.00661,-4.914,108.009,0.805
101,Leave A Trace,CHVRCHES,0.017,0.57,237480,0.736,5.74e-05,-5.822,99.86,0.267
102,Willing & Able,Disclosure,0.247,0.525,292760,0.643,0.0,-6.874,199.727,0.943
103,White Girl,Shy Glizzy,0.123,0.698,236760,0.793,0.0,-5.332,129.948,0.46
104,Maneuvering,ILoveMakonnen,0.00705,0.763,213375,0.773,0.032,-4.722,130.025,0.347
105,Be My Baby,The Ronettes,0.181,0.511,160907,0.769,0.0,-7.032,129.657,0.814
106,Why Don't They Let Us Fall in Love,The Ronettes,0.378,0.506,159253,0.813,0.0293,-5.78,108.212,0.855
107,Will You Love Me Tomorrow,The Shirelles,0.677,0.513,162040,0.494,6.43e-05,-5.072,135.894,0.521
108,One Fine Day,The Chiffons,0.488,0.251,126827,0.868,7.34e-06,-2.685,177.125,0.587
109,He's So Fine - 2000 Digital Remaster,The Chiffons,0.487,0.559,111270,0.633,0.0,-3.265,72.496,0.842
110,Then He Kissed Me,The Crystals,0.7,0.431,158685,0.678,6.37e-06,-7.945,135.919,0.632
111,It's My Party,Lesley Gore,0.403,0.683,142333,0.71,0.0,-7.445,128.181,0.93
112,Please Mr. Postman,The Marvelettes,0.656,0.78,149440,0.599,0.0,-10.251,121.198,0.967
113,Fiesta - Remix,Bomba Estéreo,0.00904,0.614,196352,0.907,0.000131,-2.536,122.906,0.354
114,Queen's Speech 4,Lady Leshurr,0.141,0.661,196615,0.531,0.0,-10.113,93.287,0.657
115,I Know There's Gonna Be (Good Times),Jamie xx,0.119,0.564,213622,0.594,0.0,-9.912,89.394,0.489
116,With That (feat. Duke),Young Thug,0.0659,0.751,202533,0.597,0.0,-6.59,123.997,0.168
117,Hotline Bling,Drake,0.00257,0.896,267024,0.623,0.000258,-8.008,134.962,0.564
118,679 (feat. Remy Boyz),Fetty Wap,0.00256,0.618,196693,0.717,0.0,-5.738,190.05,0.601
119,Trap Queen,Fetty Wap,0.0244,0.746,222093,0.873,0.0,-3.803,148.075,0.808
120,No Type,Rae Sremmurd,0.013,0.888,200080,0.483,4.85e-06,-7.797,125.008,0.221
121,Chasing Heaven,Bassnectar,0.0127,0.443,318750,0.645,0.952,-6.24,128.044,0.138
122,Speakerbox (feat. Lafa Taylor),Bassnectar,0.00943,0.507,282273,0.934,0.0018,-2.325,175.954,0.472
123,Movin' Bass - GTA Remix,Rick Ross,0.000758,0.695,253773,0.912,0.000103,-3.331,160.043,0.612
124,Danger and Dread,Brown Bird,0.674,0.462,226333,0.449,0.000632,-9.271,209.686,0.748
125,Midnight City,M83,0.0161,0.526,241440,0.712,0.0,-6.525,105.009,0.299
126,Water No Get Enemy - Edit,Fela Kuti,0.107,0.645,591707,0.924,0.0266,-7.697,90.852,0.886
127,Pyramids,Frank Ocean,0.0134,0.405,592920,0.647,7.62e-05,-6.109,131.952,0.204
128,Hercules Theme,Hercules & Love Affair,0.0219,0.735,269817,0.641,0.89,-6.177,105.993,0.886
129,Rewind,Kelela,0.0452,0.746,238146,0.416,7.77e-05,-6.607,132.036,0.216
130,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,0.0551,0.547,251093,0.643,0.0,-8.904,143.064,0.187
131,Kush,Lil Wayne,0.0224,0.634,221960,0.609,0.0,-8.982,83.021,0.659
132,9,Willow,0.244,0.607,253800,0.488,0.000177,-8.704,77.021,0.16
133,Magnets,Disclosure,0.0668,0.704,199246,0.647,1.93e-06,-7.874,92.002,0.694
134,Don't Move,Phantogram,7.19e-05,0.558,258187,0.642,0.00746,-5.206,99.977,0.492
135,Pussy,Brazilian Girls,0.0227,0.698,248053,0.804,0.0599,-6.616,92.001,0.786
136,Black Mags,The Cool Kids,0.103,0.772,191160,0.582,6.61e-05,-5.96,172.03,0.564
137,Stay Fly - Explicit Album Version,Three 6 Mafia,0.0956,0.788,238467,0.864,0.0,-5.767,133.295,0.678
138,Sippin On Some Syrup,Three 6 Mafia,0.00919,0.944,261973,0.839,0.0,-4.141,136.019,0.891
139,Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia,0.354,0.729,176880,0.795,0.0,-4.579,146.747,0.853
140,Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall,0.00469,0.721,228933,0.621,0.0103,-4.378,159.967,0.578
141,Gold and a Pager,The Cool Kids,0.00102,0.798,227587,0.751,3.22e-06,-6.335,162.003,0.482
142,Smell Yo D*ck,Riskay,0.0512,0.851,224653,0.387,0.0,-13.584,116.629,0.365
143,Don't Wanna Lose,Ex Hex,0.0252,0.34,147467,0.805,0.0,-3.397,167.922,0.654
144,Endless Rhythm,Baio,0.221,0.767,194066,0.891,0.0723,-6.426,122.026,0.779
145,Demon,Shamir,0.937,0.772,220093,0.635,0.018,-8.412,168.039,0.592
146,Nothing Ever Happened,Deerhunter,2.13e-05,0.259,350920,0.847,0.823,-6.298,150.162,0.682
147,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,0.284,0.633,226747,0.77,0.0,-6.954,149.97,0.324
148,River,Ibeyi,0.0962,0.654,252095,0.292,0.0031,-12.977,153.547,0.111
149,The Buzz (feat. Mataya & Young Tapz),Hermitude,0.334,0.726,221787,0.583,0.00135,-6.434,140.943,0.48
150,All Day,Kanye West,0.0648,0.855,310907,0.638,0.0,-4.968,122.967,0.433
151,Blood On the Money,Future,0.185,0.704,282253,0.431,0.0972,-7.893,146.003,0.349
152,River,Leon Bridges,0.689,0.658,238560,0.179,0.0,-10.866,128.128,0.197
153,Trust Me Danny,ILoveMakonnen,0.000472,0.502,244204,0.833,0.043,-4.982,142.053,0.593
154,Big Rings,Drake,0.00157,0.79,217707,0.676,0.0,-6.432,132.002,0.314
155,Annie,Neon Indian,0.0233,0.738,242188,0.849,0.0317,-6.246,95.987,0.863
156,Acamar,Frankey,0.00212,0.777,500550,0.739,0.868,-9.089,119.992,0.201
157,Alright,Kendrick Lamar,0.0734,0.791,219333,0.779,0.0,-5.972,110.037,0.581
158,Know Yourself,Drake,0.19,0.735,275840,0.41,0.0,-8.735,114.812,0.16
159,Deicide,Crystal Castles,0.188,0.556,294360,0.582,0.911,-10.65,131.023,0.516
160,Coming Home,Leon Bridges,0.461,0.427,206387,0.465,5.52e-05,-6.595,112.137,0.462
161,Hercules Theme 2014,Hercules & Love Affair,0.0111,0.563,176361,0.81,2.71e-05,-9.158,99.996,0.767
162,Forever,Majid Jordan,0.0496,0.753,256320,0.708,0.0123,-7.217,115.004,0.445
163,Next to You,Poolside,0.149,0.785,262979,0.764,0.813,-5.245,93.984,0.961
164,Papi Pacify,FKA twigs,0.0682,0.557,293910,0.608,0.0263,-7.657,109.67,0.211
165,Magnolia,Young & Sick,0.489,0.594,235693,0.42,0.00452,-8.467,140.04,0.311
166,Dark Matter,Feathers,0.000259,0.644,237120,0.758,0.0708,-7.859,108.99,0.752
167,Callie (feat. Vic Mensa),Donnie Trumpet,0.217,0.704,185437,0.657,0.000118,-7.172,150.058,0.804
168,Wu-Tang Forever,Drake,0.0472,0.849,217693,0.408,0.0,-8.67,99.876,0.337
169,Fame (2007 Remastered),David Bowie,0.228,0.628,260947,0.568,0.0183,-10.695,191.404,0.618
170,We Dem Boyz,Wiz Khalifa,0.00689,0.717,224933,0.862,0.0,-4.736,130.021,0.512
171,Ego Free Sex Free,Autre Ne Veut,0.0109,0.584,243480,0.68,1.03e-06,-4.685,104.89,0.326
172,Her Fantasy,Matthew Dear,0.0246,0.586,374133,0.806,0.000167,-9.542,110.325,0.207
173,Little People (Black City),Matthew Dear,0.00399,0.648,560600,0.85,0.294,-6.277,112.014,0.559
174,Confess To Me,Disclosure,0.037,0.807,250130,0.785,0.000763,-7.928,124.051,0.421
175,Let Me Show You Love,Cut Copy,0.0789,0.577,355881,0.941,0.207,-4.338,99.995,0.381
176,New Slaves,Kanye West,0.141,0.5,256093,0.593,6.21e-06,-4.34,68.456,0.325
177,Sexy Socialite,Chromeo,0.108,0.804,336160,0.708,0.0636,-5.099,141.996,0.966
178,Okay,Holy Ghost!,0.0108,0.787,273853,0.658,0.0152,-5.379,110.983,0.867
179,Weight,Mikal Cronin,0.0107,0.246,230230,0.784,5.71e-06,-5.004,153.027,0.189
180,When A Fire Starts To Burn,Disclosure,0.0107,0.882,284027,0.743,0.00152,-6.972,123.97,0.678
181,When A Fire Starts To Burn - Midland Remix,Disclosure,0.0315,0.628,308527,0.824,0.543,-7.983,122.01,0.86
182,Fake Tales Of San Francisco,Arctic Monkeys,0.00807,0.451,179947,0.79,0.0,-4.261,127.142,0.674
183,Billie Holiday,Warpaint,0.64,0.518,405027,0.385,0.000536,-11.125,100.878,0.264
184,Goody Two Shoes,Duck Sauce,0.0414,0.774,269867,0.901,4.84e-06,-5.398,128.024,0.768
185,The Wire,HAIM,0.0127,0.547,245293,0.635,5.01e-06,-5.569,113.678,0.496
186,Awake,Tycho,0.0585,0.552,283636,0.878,0.892,-5.767,176.057,0.603
187,Man I Need,Jagwar Ma,0.00856,0.542,216827,0.946,5.38e-06,-6.307,108.496,0.389
188,N.O. Bounce,Big Freedia,0.019,0.695,246521,0.94,0.8,-2.935,100.262,0.337
189,Now Is Not The Time,CHVRCHES,0.0488,0.633,224720,0.492,0.00047,-7.672,114.845,0.357
190,No Rest For The Wicked,Lykke Li,0.365,0.312,222719,0.445,0.0038,-7.202,97.967,0.308
191,Holdin On,Flume,0.17,0.43,154414,0.436,0.0,-4.816,90.053,0.22
192,Rocking Chair,The Districts,0.0346,0.19,230693,0.908,0.0369,-4.679,148.951,0.181
193,Marriage,Gold Panda,0.0361,0.312,281360,0.907,0.618,-6.571,120.286,0.122
194,Ride On / Right On,Phosphorescent,0.00818,0.539,224907,0.582,0.0717,-7.414,95.07,0.249
195,GodLovesUgly,Atmosphere,0.613,0.698,230200,0.878,1.61e-05,-0.307,182.126,0.816
196,New York City,Christopher Owens,0.00275,0.476,195200,0.818,0.757,-7.933,159.089,0.745
197,Moving to the Left,Woods,0.064,0.568,322544,0.936,0.00099,-6.365,150.067,0.792
198,All These Things That I've Done,The Killers,0.00192,0.558,301573,0.74,8.97e-06,-6.22,118.293,0.214
199,Junk of the Heart (Happy),The Kooks,0.0212,0.604,187253,0.894,0.0,-5.0,145.014,0.893
200,When The Night Falls - feat. Solange Knowles,Chromeo,0.0516,0.718,224267,0.921,0.0473,-3.978,121.922,0.898
201,Mercy,Kanye West,0.0855,0.737,332453,0.545,9.32e-05,-8.536,140.086,0.438
202,Don't You Evah,Spoon,0.0293,0.769,214333,0.712,2.12e-06,-4.692,120.975,0.948
203,We Exist,Arcade Fire,0.00731,0.567,343784,0.506,0.205,-8.742,116.392,0.354
204,Le Goudron (Edit),YACHT,0.000467,0.817,213059,0.588,1.51e-06,-6.603,119.934,0.448
205,Double Bubble Trouble,M.I.A.,0.0411,0.767,179240,0.912,0.402,-1.157,144.084,0.496
206,Careless,Dusky,0.000195,0.77,391686,0.895,0.897,-8.102,120.986,0.678
207,Look at You,George McCrae,0.827,0.712,279800,0.77,0.548,-13.187,106.963,0.973
208,How Did I Get Here,ODESZA,0.39,0.706,131250,0.577,0.692,-6.226,96.056,0.385
209,Black Out Days,Phantogram,0.00471,0.542,227160,0.799,0.0161,-3.641,92.215,0.426
210,Bang! Bang!,Joe Cuba,0.827,0.583,248213,0.776,3.81e-05,-5.293,126.536,0.782
211,Every 1's A Winner - Single Version,Hot Chocolate,0.0628,0.727,289267,0.548,0.526,-7.393,107.826,0.93
212,Unbound,Cathedrals,0.00919,0.45,201602,0.782,0.101,-6.769,173.954,0.209
213,Operate,ASTR,0.0027,0.602,215518,0.764,0.0053,-4.897,105.997,0.468
214,Blood On The Leaves,Kanye West,0.385,0.415,359800,0.681,0.0,-4.104,171.893,0.372
215,Come Save Me,Jagwar Ma,0.0304,0.614,315000,0.838,0.000297,-6.896,127.971,0.584
216,Hannah Montana,Migos,0.105,0.901,212712,0.744,7.79e-06,-3.484,135.95,0.606
217,High School Lover,Cayucas,0.359,0.7,218733,0.986,0.0221,-4.403,123.033,0.64
218,They Come in Gold,Shabazz Palaces,0.119,0.583,202710,0.843,0.0,-7.416,108.066,0.422
219,Tides of Neptune,Virgo,0.0112,0.6,215000,0.586,0.535,-9.414,129.952,0.193
220,Cocaine Model,ZHU,0.251,0.786,255094,0.706,0.213,-6.212,120.011,0.318
221,Light House,Future Islands,0.0696,0.512,287147,0.821,0.33,-7.442,149.988,0.396
222,Pass The Dutchie,Musical Youth,0.403,0.791,199973,0.664,0.0,-5.713,149.939,0.96
223,Words I Don't Remember,How To Dress Well,0.849,0.533,378253,0.213,0.565,-13.437,80.004,0.196
224,I Would Die 4 U,Prince,0.0862,0.731,178987,0.75,0.000388,-10.457,135.406,0.648
225,Bless My Soul,Nightmares On Wax,0.000156,0.853,356560,0.532,0.88,-13.443,99.989,0.499
226,Heaven And Hell Is On Earth,20th Century Steel Band,0.0398,0.674,313147,0.501,0.000123,-12.907,107.363,0.567
227,Upper Echelon,Travis Scott,0.0448,0.788,243800,0.617,0.0,-4.516,122.065,0.13
228,Flying High (Part 1),Cloud One,0.000686,0.745,384907,0.857,0.2,-5.754,115.945,0.946
229,Go,Grimes,0.0107,0.621,240760,0.796,0.187,-6.179,140.012,0.288
230,Spill The Wine,Eric Burdon,0.377,0.818,242067,0.528,0.0,-10.666,120.368,0.895
231,Got To Give It Up (Part 1),Marvin Gaye,0.0988,0.856,247800,0.874,0.000472,-8.037,122.416,0.91
232,Never Gonna Give You Up,Barry White,0.0913,0.614,286315,0.857,0.0,-8.85,85.125,0.944
233,Sanctified,Rick Ross,0.0778,0.729,289627,0.527,0.0,-6.338,126.012,0.23
234,It #1,Ty Segall,0.0608,0.42,151853,0.776,0.0107,-8.827,114.217,0.416
235,Dangerous (feat. Joywave),Big Data,0.011,0.757,280427,0.578,0.00672,-3.886,102.96,0.952
236,Counting,Autre Ne Veut,0.0249,0.618,221840,0.538,1.37e-05,-5.828,79.925,0.299
237,You're the Best,Wet,0.642,0.657,175333,0.393,4.03e-05,-7.667,99.946,0.266
238,Estrelar,Marcos Valle,0.538,0.879,313493,0.495,0.000333,-10.584,102.652,0.797
239,Hold On We're Going Home,ASTR,0.0172,0.496,190582,0.54,0.0367,-7.121,131.337,0.172
240,Uncle ACE,Blood Orange,0.0639,0.742,256693,0.945,0.165,-6.445,112.977,0.748
241,San Francisco,Foxygen,0.245,0.623,227907,0.65,0.000913,-7.953,116.74,0.884
242,Stay High - Habits Remix,Tove Lo,0.00101,0.736,258387,0.68,0.897,-7.036,120.995,0.0793
243,Crosstown Traffic,Jimi Hendrix,0.254,0.482,139267,0.96,2.43e-06,-5.269,113.263,0.539
244,Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle,0.0117,0.683,175357,0.86,0.000379,-7.317,143.311,0.317
245,Marijuana,Chrome Sparks,0.0626,0.697,181149,0.655,0.774,-9.781,86.969,0.436
246,Crown Violet - Bonus Track,Azizi Gibson,0.479,0.631,187617,0.626,0.0,-7.747,107.007,0.104
247,Glad I Met You,D. Gookin,0.0957,0.747,202349,0.722,0.000519,-7.33,100.215,0.56
248,Dancing In The Rain,Blu,0.251,0.569,265827,0.74,2.68e-06,-6.235,180.559,0.709
249,You Know I'm No Good - Ghostface UK Version,Amy Winehouse,0.029,0.674,202733,0.832,5.56e-06,-3.593,102.833,0.807
250,Kill V. Maim,Grimes,0.00744,0.578,246007,0.947,0.0816,-2.431,134.034,0.452
251,Life Round Here,James Blake,0.449,0.586,217120,0.658,0.368,-9.71,144.933,0.276
252,Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign,0.275,0.756,206378,0.44,0.0,-9.973,112.14,0.307
253,"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)",Dâm-Funk,0.212,0.723,322050,0.687,5.83e-05,-7.019,95.237,0.867
254,Clouds Over the Pacific,James Pants,0.0559,0.599,243589,0.645,0.108,-6.098,141.209,0.371
255,Distant Land,Madlib,0.00333,0.586,238507,0.671,0.916,-9.787,91.412,0.771
256,Flashlight,Parliament,0.0332,0.749,267800,0.802,0.0499,-6.159,106.077,0.824
257,Can You Get To That,Funkadelic,0.539,0.689,171560,0.83,0.0,-8.774,140.732,0.822
258,Better,Banks,0.0257,0.283,186369,0.331,0.00489,-7.459,101.797,0.151
259,Pony,Pretty Sister,0.0193,0.413,216771,0.676,0.0,-7.639,71.607,0.601
260,WTF (Where They From) [feat. Pharrell Williams],Missy Elliott,0.0181,0.932,192773,0.819,6.81e-06,-3.484,119.941,0.552
261,Again,Fetty Wap,0.0062,0.748,312240,0.733,0.0,-4.421,93.019,0.273
262,Exchange,Bryson Tiller,0.108,0.53,194613,0.433,0.0,-10.598,160.14,0.272
263,Sugar for the Queen,Bells Atlas,0.196,0.388,238000,0.688,0.00883,-8.407,170.678,0.804
264,Symphony of the Nymph,Ariel Pink's Haunted Graffiti,0.667,0.371,275013,0.703,0.00186,-7.358,120.599,0.558
265,Cool It Now,New Edition,0.124,0.875,347667,0.532,0.0123,-13.265,116.556,0.704
266,Jumpin' Jack Flash,Ananda Shankar,0.074,0.523,215867,0.722,0.00336,-6.533,129.424,0.496
